Site;Date;Gaz (kWh);PE (kg);Electricité (kWh);Gaz (kWh/kg);Electricité (kWh/kg);Semaine;Année;Mois;Jour
PTWE35;2022-12-31;0.0;0.0;;;;52;2022;12;2022-12-31
PTWE35;2023-01-01;0.0;0.0;;;;52;2023;1;2023-01-01
PTWE35;2023-01-02;2064.0;0.0;;;;1;2023;1;2023-01-02
PTWE35;2023-01-03;31629.0;0.0;;;;1;2023;1;2023-01-03
PTWE35;2023-01-04;27939.0;9205.634;;3.03498922507673;;1;2023;1;2023-01-04
PTWE35;2023-01-05;35864.0;9021.144;;3.975548999106987;;1;2023;1;2023-01-05
PTWE35;2023-01-06;32124.0;10969.952000000001;;2.9283628588347512;;1;2023;1;2023-01-06
PTWE35;2023-01-07;0.0;0.0;;;;1;2023;1;2023-01-07
PTWE35;2023-01-08;3315.0;0.0;;;;1;2023;1;2023-01-08
PTWE35;2023-01-09;43435.0;12861.95;;3.3770151493358314;;2;2023;1;2023-01-09
PTWE35;2023-01-10;42825.0;11722.13;;3.6533462775109986;;2;2023;1;2023-01-10
PTWE35;2023-01-11;41825.0;13108.94;;3.1905707097599043;;2;2023;1;2023-01-11
PTWE35;2023-01-12;42229.0;11861.598;;3.5601442571228596;;2;2023;1;2023-01-12
PTWE35;2023-01-13;34760.0;12558.484;;2.7678500048254233;;2;2023;1;2023-01-13
PTWE35;2023-01-14;0.0;0.0;;;;2;2023;1;2023-01-14
PTWE35;2023-01-15;1859.0;0.0;;;;2;2023;1;2023-01-15
PTWE35;2023-01-16;47168.0;15628.398;;3.018095648703085;;3;2023;1;2023-01-16
PTWE35;2023-01-17;44832.0;12414.39;;3.611293023660446;;3;2023;1;2023-01-17
PTWE35;2023-01-18;45947.0;15465.41;;2.9709525967950414;;3;2023;1;2023-01-18
PTWE35;2023-01-19;43055.0;14258.63;;3.0195748118858545;;3;2023;1;2023-01-19
PTWE35;2023-01-20;35296.0;12449.08;;2.835229591262969;;3;2023;1;2023-01-20
PTWE35;2023-01-21;0.0;0.0;;;;3;2023;1;2023-01-21
PTWE35;2023-01-22;1963.0;0.0;;;;3;2023;1;2023-01-22
